path,total_conversions,total_conversion_value,total_null
eta > iota > alpha > eta,1,0.244,3
iota > iota > iota > iota,2,3.195,6
alpha > iota > alpha > alpha > alpha > iota > alpha > alpha > alpha > alpha > alpha,2,6.754,6
beta > eta,1,2.4019999999999997,3
iota > eta > theta > lambda > lambda > theta > lambda,0,0.0,2
alpha > eta > alpha > alpha > eta > iota > iota > iota > alpha > alpha > alpha > alpha > alpha > alpha > theta > alpha > alpha > alpha > alpha > alpha > alpha,1,5.044,3
iota > beta > eta > beta > eta,0,0.0,2
beta > iota > kappa,1,6.82,2
eta,1,3.3,3
iota > iota > beta,1,2.6,3
iota > iota > iota,10,30.7346153846154,38
beta > eta,1,3.492,3
iota > alpha > iota > iota > iota > iota > alpha > alpha > alpha > iota,1,2.9,3
eta,3,11.286,9
iota > iota > theta > theta > eta,1,7.099,3
beta > alpha > alpha > eta,1,2.045,2
alpha > iota > iota > iota > iota > iota > eta,1,3.75,2
theta > theta > alpha > alpha > alpha > theta > theta > alpha > theta,1,2.258,2
iota > iota > eta,1,2.157,2
lambda > lambda > zeta > theta > alpha,1,5.33,2
lambda > alpha > lambda > alpha > epsilon > lambda,1,2.464,3
theta > lambda > lambda > theta > alpha > lambda > theta > alpha > alpha > lambda > theta > lambda > lambda > lambda > theta > lambda,0,0.0,2
iota > theta > theta,1,2.6985,6
eta > eta > eta,1,3.4419999999999997,2
iota > eta > alpha > alpha,0,0.0,3
beta > zeta > zeta > beta,1,0.865,3
eta > theta > alpha > lambda,1,4.23,3
eta > lambda > lambda,2,3.639,5
theta > eta > theta > alpha,1,1.376,2
beta > eta > beta > eta > beta > eta > beta > eta,1,3.342,3
iota > zeta > alpha > eta > eta > alpha > alpha > alpha > eta > alpha > alpha,1,2.75,2
beta > iota > alpha > alpha > alpha,1,1.237,3
beta,44,78.1416842105263,169
eta,1,3.752,2
iota > zeta > epsilon > alpha > eta > eta > eta > eta,1,0.1,2
beta > iota > eta > alpha > alpha,0,0.0,2
beta > beta > eta > beta > beta,1,1.635,2
iota > iota > iota > eta > iota > epsilon > iota > eta > eta,1,2.4,3
beta > eta,1,3.4,2
eta > theta,1,2.895,2
beta > lambda,1,3.7,3
eta,1,1.9,3
iota > iota > iota > beta > eta > beta,1,6.05,2
beta > eta > beta > beta > beta > eta > beta > beta > eta,1,5.065,3
gamma > iota > gamma > alpha,1,2.13,2
theta > beta > beta > beta > beta > theta,1,1.2,2
lambda > zeta > alpha > lambda > lambda > lambda > lambda,1,3.4,2
iota > beta > eta,0,0.0,3
beta > beta > eta > beta > iota,1,2.03,3
beta > eta > beta > beta > eta,1,2.539,2
